Waarde2;NaamWetenschappelijk1;NaamNederlands;Omschrijving1
Indigeniteit;Acaena microphylla Hook.f.;Bronskleurig stekelnootje;neofyt
Indigeniteit;Acer campestre L.;Spaanse aak;inheems
Indigeniteit;Acer negundo L.;Vederesdoorn;neofyt
Indigeniteit;Acer palmatum Thunb.;Japanse esdoorn;neofyt
Indigeniteit;Acer platanoides L.;Noorse esdoorn;neofyt
Indigeniteit;Acer pseudoplatanus L.;Gewone esdoorn;archeofyt of neofyt
Indigeniteit;Aceras anthropophorum (L.) Ait. f.;Poppenorchis;inheems
Indigeniteit;Achillea millefolium L.;Duizendblad;inheems
Indigeniteit;Achillea ptarmica L.;Wilde bertram;inheems
Indigeniteit;Acinos arvensis (Lam.) Dandy;Kleine steentijm;inheems of archeofyt
Indigeniteit;Aconitum lycoctonum L.;Gele monnikskap;inheems
Indigeniteit;Aconitum napellus L.;Blauwe monnikskap;neofyt
Indigeniteit;Acorus calamus L.;Kalmoes;neofyt
Indigeniteit;Actaea spicata L.;Christoffelkruid;inheems
Indigeniteit;Adonis aestivalis L.;Zomeradonis;archeofyt
Indigeniteit;Adonis annua L.;Herfstadonis;archeofyt
Indigeniteit;Adoxa moschatellina L.;Muskuskruid;inheems
Indigeniteit;Aegopodium podagraria L.;Zevenblad;inheems
Indigeniteit;Aesculus hippocastanum L.;Witte paardenkastanje;neofyt
Indigeniteit;Aesculus parviflora Walter;Kleinbloemige kastanje;neofyt
Indigeniteit;Aethusa cynapium L.;Hondspeterselie;inheems
Indigeniteit;Agrimonia eupatoria L.;Gewone agrimonie;inheems
Indigeniteit;Agrimonia procera Wallr.;Welriekende agrimonie;inheems
Indigeniteit;Agrostemma githago L.;Bolderik;archeofyt
Indigeniteit;Agrostis canina L.;Moerasstruisgras;inheems
Indigeniteit;Agrostis capillaris L.;Gewoon struisgras;inheems
Indigeniteit;Agrostis gigantea Roth;Hoog struisgras;inheems
Indigeniteit;Agrostis scabra Willd.;;neofyt
Indigeniteit;Agrostis stolonifera L.;Fioringras;inheems
Indigeniteit;Agrostis vinealis Schreb.;Zandstruisgras;inheems
Indigeniteit;Ailanthus altissima (Mill.) Swingle;Hemelboom;neofyt
Indigeniteit;Aira caryophyllea L.;Zilverhaver;inheems
Indigeniteit;Aira praecox L.;Vroege haver;inheems
Indigeniteit;Ajuga reptans L.;Kruipend zenegroen;inheems
Indigeniteit;Alcea rosea L.;Stokroos;neofyt
Indigeniteit;Alchemilla glabra Neygenf.;Kale vrouwenmantel;inheems
Indigeniteit;Alchemilla mollis (Buser) Rothm.;Fraaie vrouwenmantel;neofyt
Indigeniteit;Alchemilla xanthochlora Rothm.;Geelgroene vrouwenmantel;inheems
Indigeniteit;Alisma gramineum Lej.;Smalle waterweegbree;inheems
Indigeniteit;Alisma lanceolatum With.;Slanke waterweegbree;inheems
Indigeniteit;Alisma plantago-aquatica L.;Grote waterweegbree;inheems
Indigeniteit;Alliaria petiolata (Bieb.) Cavara et Grande;Look-zonder-look;inheems
Indigeniteit;Allium oleraceum L.;Moeslook;inheems
Indigeniteit;Allium paradoxum (Bieb.) G. Don;Armbloemig look;neofyt
Indigeniteit;Allium scorodoprasum L.;Slangenlook;inheems
Indigeniteit;Allium ursinum L.;Daslook;inheems
Indigeniteit;Allium vineale L.;Kraailook;inheems
Indigeniteit;Alnus glutinosa (L.) Gaertn.;Zwarte els;inheems
Indigeniteit;Alnus incana (L.) Moench;Witte els;neofyt
Indigeniteit;Alopecurus aequalis Sobol.;Rosse vossenstaart;inheems
Indigeniteit;Alopecurus bulbosus Gouan;Knolvossenstaart;inheems
Indigeniteit;Alopecurus geniculatus L.;Geknikte vossenstaart;inheems
Indigeniteit;Alopecurus myosuroides Huds.;Duist;archeofyt
Indigeniteit;Alopecurus pratensis L.;Grote vossenstaart;inheems
Indigeniteit;Althaea officinalis L.;Heemst;inheems
Indigeniteit;Alyssum alyssoides (L.) L.;Bleek schildzaad;inheems
Indigeniteit;Amaranthus albus L.;Witte amarant;neofyt
Indigeniteit;Amaranthus blitoides S. Watson;Nerfamarant;neofyt
Indigeniteit;Amaranthus blitum L.;Kleine majer;archeofyt
Indigeniteit;Amaranthus bouchonii Thell.;Bouchon's amarant;neofyt
Indigeniteit;Amaranthus deflexus L.;Liggende majer;neofyt
Indigeniteit;Amaranthus hybridus L.;Groene amarant;neofyt
Indigeniteit;Amaranthus retroflexus L.;Papegaaienkruid;neofyt
Indigeniteit;Ambrosia coronopifolia Torr. et A. Gray;Zandambrosia;neofyt
Indigeniteit;Amelanchier lamarckii F.G. Schroeder;Amerikaans krentenboompje;neofyt
Indigeniteit;Ammophila arenaria (L.) Link;Helm;inheems
Indigeniteit;Amsinckia micrantha Suksd.;Kleinbloemige amsinckia;neofyt
Indigeniteit;Anacamptis pyramidalis (L.) L.C.M. Rich.;Hondskruid;inheems
Indigeniteit;Anagallis arvensis L.;Rood en blauw guichelheil;inheems
Indigeniteit;Anagallis tenella (L.) L.;Teer guichelheil;inheems
Indigeniteit;Anchusa arvensis (L.) Bieb.;Kromhals;inheems
Indigeniteit;Anchusa officinalis L.;Gewone ossentong;neofyt
Indigeniteit;Anchusa procera Besser ex Link;;neofyt
Indigeniteit;Anchusa thessala Boiss. & Spruner;;neofyt
Indigeniteit;Andromeda polifolia L.;Lavendelhei;inheems
Indigeniteit;Anemone nemorosa L.;Bosanemoon;inheems
Indigeniteit;Anemone ranunculoides L.;Gele anemoon;inheems
Indigeniteit;Angelica archangelica L.;Grote engelwortel;neofyt
Indigeniteit;Angelica sylvestris L.;Gewone engelwortel;inheems
Indigeniteit;Antennaria dioica (L.) Gaertn.;Rozenkransje;inheems
Indigeniteit;Anthemis arvensis L.;Valse kamille;archeofyt
Indigeniteit;Anthemis cotula L.;Stinkende kamille;archeofyt
Indigeniteit;Anthemis tinctoria L.;Gele kamille;archeofyt
Indigeniteit;Anthoxanthum aristatum Boiss.;Slofhak;neofyt
Indigeniteit;Anthoxanthum odoratum L.;Gewoon reukgras;inheems
Indigeniteit;Anthriscus caucalis Bieb.;Fijne kervel;inheems
Indigeniteit;Anthriscus sylvestris (L.) Hoffmann;Fluitenkruid;inheems
Indigeniteit;Anthyllis vulneraria L.;Wondklaver;inheems
Indigeniteit;Antirrhinum majus L.;Grote leeuwenbek;neofyt
Indigeniteit;Apera interrupta (L.) Beauv.;Stijve windhalm;neofyt
Indigeniteit;Apera spica-venti (L.) Beauv.;Grote windhalm;archeofyt
Indigeniteit;Aphanes arvensis L.;Grote leeuwenklauw;archeofyt
Indigeniteit;Aphanes inexspectata W. Lippert;Kleine leeuwenklauw;inheems
Indigeniteit;Apium graveolens L.;Selderij;inheems
Indigeniteit;Apium inundatum (L.) Reichenb. f.;Ondergedoken moerasscherm;inheems
Indigeniteit;Apium nodiflorum (L.) Lag.;Groot moerasscherm;inheems
Indigeniteit;Apium repens (Jacq.) Lag.;Kruipend moerasscherm;inheems
Indigeniteit;Arabidopsis thaliana (L.) Heynh.;Zandraket;inheems
Indigeniteit;Arabis glabra (L.) Bernh.;Torenkruid;inheems
Indigeniteit;Arabis hirsuta (L.) Scop.;Ruige scheefkelk;inheems
Indigeniteit;Aralia elata (Miq.) Seem.;Duivelswandelstok;neofyt
Indigeniteit;Arctium lappa L.;Grote klit;inheems
Indigeniteit;Arctium minus (Hill) Bernh.;Kleine klit;inheems
Indigeniteit;Arctium nemorosum Lej.;Bosklit;inheems
Indigeniteit;Arctium pubens Bab.;;inheems
Indigeniteit;Arctium tomentosum Mill.;Donzige klit;inheems
Indigeniteit;Arenaria serpyllifolia L.;Zandmuur;inheems
Indigeniteit;Aristolochia clematitis L.;Pijpbloem;archeofyt
Indigeniteit;Armeria maritima Willd.;Engels gras;inheems
Indigeniteit;Armoracia rusticana Gaertn., B. Mey. et Scherb.;Mierikswortel;neofyt
Indigeniteit;Arnica montana L.;Valkruid;inheems
Indigeniteit;Arnoseris minima (L.) Schweigg. et Körte;Korensla;inheems
Indigeniteit;Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl;Glanshaver;inheems
Indigeniteit;Artemisia absinthium L.;Absintalsem;neofyt
Indigeniteit;Artemisia annua L.;Zomeralsem;neofyt
Indigeniteit;Artemisia campestris L.;Averuit;neofyt
Indigeniteit;Artemisia maritima L.;Zeealsem;inheems
Indigeniteit;Artemisia verlotiorum Lamotte;Herfstalsem;neofyt
Indigeniteit;Artemisia vulgaris L.;Bijvoet;inheems
Indigeniteit;Arum italicum Mill.;Italiaanse aronskelk;inheems
Indigeniteit;Arum maculatum L.;Gevlekte aronskelk;inheems
Indigeniteit;Asparagus officinalis L.;Asperge;inheems
Indigeniteit;Asparagus officinalis L. subsp. officinalis;Asperge (tuinasperge);inheems
Indigeniteit;Asparagus officinalis L. subsp. prostratus (Dum.) Corb.;Liggende asperge;inheems
Indigeniteit;Asperula cynanchica L.;Kalkbedstro;inheems
Indigeniteit;Asplenium adiantum-nigrum L.;Zwartsteel;inheems
Indigeniteit;Asplenium ruta-muraria L.;Muurvaren;inheems
Indigeniteit;Asplenium scolopendrium L.;Tongvaren;inheems
Indigeniteit;Asplenium septentrionale (L.) Hoffmann;Noordse streepvaren;inheems
Indigeniteit;Asplenium trichomanes L.;Steenbreekvaren;inheems
Indigeniteit;Aster lanceolatus Willd.;Smalle aster;neofyt
Indigeniteit;Aster novi-belgii L.;Nieuw-Nederlandse aster;neofyt
Indigeniteit;Aster tripolium L.;Zulte;inheems
Indigeniteit;Astragalus cicer L.;Bergerwt;neofyt
Indigeniteit;Astragalus glycyphyllos L.;Hokjespeul;neofyt
Indigeniteit;Athyrium filix-femina (L.) Roth;Wijfjesvaren;inheems
Indigeniteit;Atriplex glabriuscula Edmondst.;Kustmelde;inheems
Indigeniteit;Atriplex laciniata L.;Gelobde melde;inheems
Indigeniteit;Atriplex littoralis L.;Strandmelde;inheems
Indigeniteit;Atriplex patula L.;Uitstaande melde;inheems
Indigeniteit;Atriplex prostrata Boucher ex DC.;Spiesmelde;inheems
Indigeniteit;Atropa bella-donna L.;Wolfskers;archeofyt
Indigeniteit;Avena fatua L.;Oot;archeofyt
Indigeniteit;Avenula pubescens (Huds.) Dum.;Zachte haver;inheems
Indigeniteit;Azolla filiculoides Lam.;Grote kroosvaren;neofyt
Indigeniteit;Baccharis halimifolia L.;Struikaster;neofyt
Indigeniteit;Baldellia ranunculoides (L.) Parl.;Moerasweegbree;inheems
Indigeniteit;Ballota nigra L.;Stinkende ballote;inheems
Indigeniteit;Ballota nigra L. subsp. meridionalis (Béguinot) Béguinot;Stinkende ballote subsp. meridionalis;inheems
Indigeniteit;Barbarea intermedia Boreau;Bitter barbarakruid;neofyt
Indigeniteit;Barbarea stricta Andrz.;Stijf barbarakruid;archeofyt
Indigeniteit;Barbarea verna (Mill.) Aschers.;Vroeg barbarakruid;neofyt
Indigeniteit;Barbarea vulgaris R. Brown;Gewoon barbarakruid;inheems
Indigeniteit;Bassia hirsuta (L.) Aschers.;Ruig zoutkruid;inheems
Indigeniteit;Bellis perennis L.;Madeliefje;inheems
Indigeniteit;Berberis vulgaris L.;Zuurbes;inheems
Indigeniteit;Berteroa incana (L.) DC.;Grijskruid;neofyt
Indigeniteit;Berula erecta (Huds.) Coville;Kleine watereppe;inheems
Indigeniteit;Beta vulgaris L.;Biet en strandbiet;inheems
Indigeniteit;Beta vulgaris L. subsp. maritima (L.) Arcang.;Strandbiet;inheems
Indigeniteit;Betula pendula Roth;Ruwe berk;inheems
Indigeniteit;Betula pubescens Ehrh.;Zachte berk;inheems
Indigeniteit;Bidens cernua L.;Knikkend tandzaad;inheems
Indigeniteit;Bidens connata Muhlenb. ex Willd.;Smal tandzaad;neofyt
Indigeniteit;Bidens frondosa L.;Zwart tandzaad;neofyt
Indigeniteit;Bidens tripartita L.;Veerdelig tandzaad;inheems
Indigeniteit;Blackstonia perfoliata (L.) Huds.;Zomerbitterling;inheems
Indigeniteit;Blechnum spicant (L.) Roth;Dubbelloof;inheems
Indigeniteit;Blysmus compressus (L.) Panzer ex Link;Platte bies;inheems
Indigeniteit;Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova;Oostelijke bies;neofyt
Indigeniteit;Botrychium lunaria (L.) Swartz;Gelobde maanvaren;inheems
Indigeniteit;Botrychium matricariifolium (A. Braun ex Döll) Koch;Vertakte maanvaren;inheems
Indigeniteit;Botrychium simplex Hitchc.;Kleine maanvaren;inheems
Indigeniteit;Brachypodium pinnatum (L.) Beauv.;Gevinde kortsteel;inheems
Indigeniteit;Brachypodium sylvaticum (Huds.) Beauv.;Boskortsteel;inheems
Indigeniteit;Brassica nigra (L.) Koch;Zwarte mosterd;archeofyt
Indigeniteit;Brassica rapa L.;Raapzaad;neofyt
Indigeniteit;Briza media L.;Bevertjes;inheems
Indigeniteit;Bromus arvensis L.;Akkerdravik;inheems of archeofyt
Indigeniteit;Bromus carinatus Hook. et Arnott;Gekielde dravik;neofyt
Indigeniteit;Bromus commutatus Schrad.;Grote trosdravik;inheems
Indigeniteit;Bromus diandrus Roth;Stijve dravik;inheems
Indigeniteit;Bromus erectus Huds.;Bergdravik;inheems
Indigeniteit;Bromus grossus Desf. ex DC.;Zware dreps;archeofyt
Indigeniteit;Bromus hordeaceus L.;Zachte dravik;inheems
Indigeniteit;Bromus inermis Leyss.;Kweekdravik;neofyt
Indigeniteit;Bromus racemosus L.;Trosdravik;inheems
Indigeniteit;Bromus ramosus Huds.;Ruwe dravik;inheems
Indigeniteit;Bromus secalinus L.;Dreps;archeofyt
Indigeniteit;Bromus sterilis L.;IJle dravik;inheems
Indigeniteit;Bromus tectorum L.;Zwenkdravik;inheems
Indigeniteit;Bromus thominei Hardouin;Duindravik;inheems
Indigeniteit;Bryonia dioica Jacq.;Heggenrank;inheems
Indigeniteit;Buddleja davidii Franch.;Vlinderstruik;neofyt
Indigeniteit;Bunias orientalis L.;Grote hardvrucht;neofyt
Indigeniteit;Bupleurum rotundifolium L.;Doorwas;inheems
Indigeniteit;Bupleurum tenuissimum L.;Fijn goudscherm;inheems
Indigeniteit;Butomus umbellatus L.;Zwanenbloem;inheems
Indigeniteit;Cabomba caroliniana A. Gray;Waterwaaier;neofyt
Indigeniteit;Cakile maritima Scop.;Zeeraket;inheems
Indigeniteit;Calamagrostis canescens (Weber) Roth;Hennegras;inheems
Indigeniteit;Calamagrostis epigejos (L.) Roth;Gewoon struisriet;inheems
Indigeniteit;Calamintha ascendens Jord.;Opstijgende steentijm;inheems
Indigeniteit;Calamintha nepeta (L.) Savi;Kleinbloemige steentijm;neofyt
Indigeniteit;Calla palustris L.;Slangenwortel;inheems
Indigeniteit;Callitriche brutia Petagna;Gesteeld sterrenkroos;inheems
Indigeniteit;Callitriche hamulata Kütz. ex Koch;Haaksterrenkroos;inheems
Indigeniteit;Callitriche obtusangula Le Gall;Stomphoekig sterrenkroos;inheems
Indigeniteit;Callitriche palustris L.;Klein sterrenkroos;inheems
Indigeniteit;Callitriche platycarpa Kütz.;Gewoon sterrenkroos;inheems
Indigeniteit;Callitriche stagnalis Scop.;Gevleugeld sterrenkroos;inheems
Indigeniteit;Callitriche truncata Guss.;Doorschijnend sterrenkroos;inheems
Indigeniteit;Calluna vulgaris (L.) Hull;Struikhei;inheems
Indigeniteit;Caltha palustris L.;Dotterbloem;inheems
Indigeniteit;Calystegia sepium (L.) R. Brown;Haagwinde;inheems
Indigeniteit;Calystegia silvatica Griseb.;Gestreepte winde;neofyt
Indigeniteit;Calystegia soldanella (L.) R. Brown;Zeewinde;inheems
Indigeniteit;Camelina alyssum (Mill.) Thell.;Vlashuttentut;neofyt
Indigeniteit;Campanula latifolia L.;Breed klokje;neofyt
Indigeniteit;Campanula patula L.;Weideklokje;neofyt
Indigeniteit;Campanula persicifolia L.;Prachtklokje;inheems
Indigeniteit;Campanula portenschlagiana Schult.;Dalmatiëklokje;neofyt
Indigeniteit;Campanula poscharskyana Degen;Kruipklokje;neofyt
Indigeniteit;Campanula rapunculoides L.;Akkerklokje;inheems
Indigeniteit;Campanula rapunculus L.;Rapunzelklokje;inheems
Indigeniteit;Campanula rhomboidalis L.;Bergklokje;neofyt
Indigeniteit;Campanula rotundifolia L.;Grasklokje;inheems
Indigeniteit;Campanula trachelium L.;Ruig klokje;inheems
Indigeniteit;Capsella bursa-pastoris (L.) Med.;Herderstasje;inheems
Indigeniteit;Cardamine amara L.;Bittere veldkers;inheems
Indigeniteit;Cardamine flexuosa With.;Bosveldkers;inheems
Indigeniteit;Cardamine hirsuta L.;Kleine veldkers;inheems
Indigeniteit;Cardamine impatiens L.;Springzaadveldkers;neofyt
Indigeniteit;Cardamine occulta Hornem.;Aziatische veldkers;neofyt
Indigeniteit;Cardamine pratensis L.;Pinksterbloem;inheems
Indigeniteit;Cardaminopsis arenosa (L.) Hayek;Rozetsteenkers;neofyt
Indigeniteit;Cardaria draba (L.) Desv.;Pijlkruidkers;neofyt
Indigeniteit;Carduus crispus L.;Kruldistel;inheems
Indigeniteit;Carduus nutans L.;Knikkende distel;inheems
Indigeniteit;Carduus tenuiflorus Curt.;Tengere distel;inheems
Indigeniteit;Carex acuta L.;Scherpe zegge;inheems
Indigeniteit;Carex acutiformis Ehrh.;Moeraszegge;inheems
Indigeniteit;Carex arenaria L.;Zandzegge;inheems
Indigeniteit;Carex binervis Smith;Tweenervige zegge;inheems
Indigeniteit;Carex bohemica Schreb.;Cyperzegge;inheems
Indigeniteit;Carex brizoides L.;Trilgraszegge;neofyt
Indigeniteit;Carex canescens L.;Zompzegge;inheems
Indigeniteit;Carex caryophyllea Latourr.;Voorjaarszegge;inheems
Indigeniteit;Carex cuprina (Sándor ex Heuffel) Nendtvich ex A. Kerner;Valse voszegge;inheems
Indigeniteit;Carex demissa Vahl ex Hartm.;Geelgroene zegge;inheems
Indigeniteit;Carex diandra Schrank;Ronde zegge;inheems
Indigeniteit;Carex digitata L.;Vingerzegge;inheems
Indigeniteit;Carex dioica L.;Tweehuizige zegge;inheems
Indigeniteit;Carex distans L.;Zilte zegge;inheems
Indigeniteit;Carex disticha Huds.;Tweerijige zegge;inheems
Indigeniteit;Carex divisa Huds.;Kustzegge;inheems
Indigeniteit;Carex divulsa Stokes;Groene bermzegge (bleke en ijle bermzegge);inheems
Indigeniteit;Carex echinata Murray;Sterzegge;inheems
Indigeniteit;Carex elata All.;Stijve zegge;inheems
Indigeniteit;Carex elongata L.;Elzenzegge;inheems
Indigeniteit;Carex extensa Good.;Kwelderzegge;inheems
Indigeniteit;Carex flacca Schreb.;Zeegroene zegge;inheems
Indigeniteit;Carex flava L.;Gele zegge;inheems
Indigeniteit;Carex hirta L.;Ruige zegge;inheems
Indigeniteit;Carex hostiana DC.;Blonde zegge;inheems
Indigeniteit;Carex lasiocarpa Ehrh.;Draadzegge;inheems
Indigeniteit;Carex lepidocarpa Tausch;Schubzegge;inheems
Indigeniteit;Carex limosa L.;Slijkzegge;inheems
Indigeniteit;Carex muricata L.;Dichte bermzegge;inheems
Indigeniteit;Carex nigra (L.) Reichard;Zwarte zegge;inheems
Indigeniteit;Carex ovalis Good.;Hazenzegge;inheems
Indigeniteit;Carex pallescens L.;Bleke zegge;inheems
Indigeniteit;Carex panicea L.;Blauwe zegge;inheems
Indigeniteit;Carex paniculata L.;Pluimzegge;inheems
Indigeniteit;Carex pendula Huds.;Hangende zegge;inheems
Indigeniteit;Carex pilulifera L.;Pilzegge;inheems
Indigeniteit;Carex pseudocyperus L.;Hoge cyperzegge;inheems
Indigeniteit;Carex pulicaris L.;Vlozegge;inheems
Indigeniteit;Carex punctata Gaudin;Stippelzegge;inheems
Indigeniteit;Carex reichenbachii Bonnet;Valse zandzegge;inheems
Indigeniteit;Carex remota Jusl. ex L.;IJle zegge;inheems
Indigeniteit;Carex riparia Curt.;Oeverzegge;inheems
Indigeniteit;Carex rostrata Stokes;Snavelzegge;inheems
Indigeniteit;Carex scoparia Willd.;;neofyt
Indigeniteit;Carex spicata Huds.;Gewone bermzegge;inheems
Indigeniteit;Carex strigosa Huds.;Slanke zegge;inheems
Indigeniteit;Carex sylvatica Huds.;Boszegge;inheems
Indigeniteit;Carex trinervis Degl.;Drienervige zegge;inheems
Indigeniteit;Carex vesicaria L.;Blaaszegge;inheems
Indigeniteit;Carex viridula s.l.;Dwergzegge groep;inheems
Indigeniteit;Carex vulpina L.;Voszegge;inheems
Indigeniteit;Carlina vulgaris L.;Driedistel;inheems
Indigeniteit;Carpinus betulus L.;Haagbeuk;inheems
Indigeniteit;Carpobrotus edulis (L.) N.E.Br.;Hottentotvijg;neofyt
Indigeniteit;Carum verticillatum (L.) Koch;Kranskarwij;inheems
Indigeniteit;Castanea sativa Mill.;Tamme kastanje;archeofyt
Indigeniteit;Catabrosa aquatica (L.) Beauv.;Watergras;inheems
Indigeniteit;Catapodium marinum (L.) C.E. Hubbard;Laksteeltje;inheems
Indigeniteit;Catapodium rigidum (L.) C.E. Hubbard;Stijf hardgras;inheems
Indigeniteit;Cenchrus flaccidus (Griseb.) Morrone;Slank lampenpoetsergras;neofyt
Indigeniteit;Centaurea calcitrapa L.;Kalketrip;archeofyt
Indigeniteit;Centaurea cyanus L.;Korenbloem;archeofyt
Indigeniteit;Centaurea L. subg. Jacea;Knoopkruid s.l.;inheems
Indigeniteit;Centaurea scabiosa L.;Grote centaurie;inheems
Indigeniteit;Centaurium erythraea Rafn;Echt duizendguldenkruid;inheems
Indigeniteit;Centaurium littorale (D. Turn.) Gilm.;Strandduizendguldenkruid;inheems
Indigeniteit;Centaurium pulchellum (Sw.) Druce;Fraai duizendguldenkruid;inheems
Indigeniteit;Centranthus calcitrapa (L.) Dufr.;;neofyt
Indigeniteit;Centranthus ruber (L.) DC.;Rode spoorbloem;archeofyt of neofyt
Indigeniteit;Centunculus minimus L.;Dwergbloem;inheems
Indigeniteit;Cephalanthera damasonium (Mill.) Druce;Bleek bosvogeltje;inheems
Indigeniteit;Cephalanthera longifolia (L.) Fritsch;Wit bosvogeltje;inheems
Indigeniteit;Cerastium arvense L.;Akkerhoornbloem;inheems
