Waarde2;NaamWetenschappelijk1;NaamNederlands;Omschrijving1
Indigeniteit;Cerastium diffusum Pers.;Scheve hoornbloem;inheems
Indigeniteit;Cerastium fontanum Baumg.;Gewone hoornbloem;inheems
Indigeniteit;Cerastium glomeratum Thuill.;Kluwenhoornbloem;inheems
Indigeniteit;Cerastium pumilum Curt.;Steenhoornbloem;inheems
Indigeniteit;Cerastium semidecandrum L.;Zandhoornbloem;inheems
Indigeniteit;Cerastium tomentosum L.;Viltige hoornbloem;neofyt
Indigeniteit;Ceratocapnos claviculata (L.) Lidén;Rankende helmbloem;inheems
Indigeniteit;Ceratophyllum demersum L.;Grof hoornblad;inheems
Indigeniteit;Ceratophyllum submersum L.;Fijn hoornblad;inheems
Indigeniteit;Ceterach officinarum Willd.;Schubvaren;inheems
Indigeniteit;Chaenorrhinum minus (L.) Lange;Kleine leeuwenbek;archeofyt
Indigeniteit;Chaerophyllum temulum L.;Dolle kervel;inheems
Indigeniteit;Chelidonium majus L.;Stinkende gouwe;archeofyt
Indigeniteit;Chenopodium album L.;Melganzenvoet;inheems
Indigeniteit;Chenopodium ambrosioides L.;Welriekende ganzenvoet;neofyt
Indigeniteit;Chenopodium berlandieri Moq.;Texaanse ganzenvoet;neofyt
Indigeniteit;Chenopodium bonus-henricus L.;Brave hendrik;archeofyt
Indigeniteit;Chenopodium chenopodioides (L.) Aell.;Beursjesganzenvoet;inheems
Indigeniteit;Chenopodium ficifolium Smith;Stippelganzenvoet;inheems
Indigeniteit;Chenopodium foliosum Aschers.;Rode aardbeispinazie;neofyt
Indigeniteit;Chenopodium glaucum L.;Zeegroene ganzenvoet;archeofyt
Indigeniteit;Chenopodium hybridum L.;Esdoornganzenvoet;inheems
Indigeniteit;Chenopodium murale L.;Muurganzenvoet;inheems
Indigeniteit;Chenopodium polyspermum L.;Korrelganzenvoet;inheems
Indigeniteit;Chenopodium pumilio R. Brown;Liggende ganzenvoet;neofyt
Indigeniteit;Chenopodium rubrum L.;Rode ganzenvoet;inheems
Indigeniteit;Chenopodium vulvaria L.;Stinkende ganzenvoet;inheems
Indigeniteit;Chondrilla juncea L.;Knikbloem;neofyt
Indigeniteit;Chrysanthemum segetum L.;Gele ganzenbloem;inheems
Indigeniteit;Chrysosplenium alternifolium L.;Verspreidbladig goudveil;inheems
Indigeniteit;Chrysosplenium oppositifolium L.;Paarbladig goudveil;inheems
Indigeniteit;Cicendia filiformis (L.) Delarbre;Draadgentiaan;inheems
Indigeniteit;Cichorium intybus L.;Wilde cichorei;archeofyt
Indigeniteit;Cicuta virosa L.;Waterscheerling;inheems
Indigeniteit;Circaea lutetiana L.;Groot heksenkruid;inheems
Indigeniteit;Cirsium acaule Scop.;Aarddistel;inheems
Indigeniteit;Cirsium arvense (L.) Scop.;Akkerdistel;inheems
Indigeniteit;Cirsium dissectum (L.) Hill;Spaanse ruiter;inheems
Indigeniteit;Cirsium eriophorum (L.) Scop.;Wollige distel;inheems
Indigeniteit;Cirsium oleraceum (L.) Scop.;Moesdistel;inheems
Indigeniteit;Cirsium palustre (L.) Scop.;Kale jonker;inheems
Indigeniteit;Cirsium rivulare (Jacq.) All.;Oeverdistel;neofyt
Indigeniteit;Cirsium vulgare (Savi) Ten.;Speerdistel;inheems
Indigeniteit;Cladium mariscus (L.) Pohl;Galigaan;inheems
Indigeniteit;Claytonia perfoliata Donn ex Willd.;Winterpostelein;neofyt
Indigeniteit;Claytonia sibirica L.;Roze winterpostelein;neofyt
Indigeniteit;Clematis vitalba L.;Bosrank;inheems
Indigeniteit;Clinopodium vulgare L.;Borstelkrans;inheems
Indigeniteit;Cochlearia danica L.;Deens lepelblad;inheems
Indigeniteit;Cochlearia officinalis L.;Echt lepelblad;inheems
Indigeniteit;Coeloglossum viride (L.) Hartm.;Groene nachtorchis;inheems
Indigeniteit;Coincya monensis (L.) Greuter et Burdet;Muurbloemmosterd;neofyt
Indigeniteit;Colchicum autumnale L.;Herfsttijloos;inheems
Indigeniteit;Colutea arborescens L.;Europese blazenstruik;neofyt
Indigeniteit;Comarum palustre L.;Wateraardbei;inheems
Indigeniteit;Conium maculatum L.;Gevlekte scheerling;inheems
Indigeniteit;Conopodium majus (Gouan) Loret;Franse aardkastanje;inheems
Indigeniteit;Consolida regalis S.F. Gray;Wilde ridderspoor;archeofyt
Indigeniteit;Convallaria majalis L.;Lelietje-van-dalen;inheems
Indigeniteit;Convolvulus arvensis L.;Akkerwinde;inheems
Indigeniteit;Conyza bilbaoana J. Rémy;Ruige fijnstraal;neofyt
Indigeniteit;Conyza bonariensis (L.) Cronq.;Gevlamde fijnstraal;neofyt
Indigeniteit;Conyza canadensis (L.) Cronq.;Canadese fijnstraal;neofyt
Indigeniteit;Conyza sumatrensis (Retz.) E. Walker;Hoge fijnstraal;neofyt
Indigeniteit;Corispermum leptopterum (Aschers.) Iljin;Smal vlieszaad;neofyt
Indigeniteit;Cornus sanguinea L.;Rode kornoelje;inheems
Indigeniteit;Cornus sericea L.;Canadese kornoelje;neofyt
Indigeniteit;Coronopus didymus (L.) Smith;Kleine varkenskers;neofyt
Indigeniteit;Coronopus squamatus (Forssk.) Aschers.;Grove varkenskers;inheems
Indigeniteit;Corrigiola litoralis L.;Riempjes;inheems
Indigeniteit;Corydalis solida (L.) Clairv.;Vingerhelmbloem;inheems
Indigeniteit;Corylus avellana L.;Hazelaar;inheems
Indigeniteit;Corynephorus canescens (L.) Beauv.;Buntgras;inheems
Indigeniteit;Cota altissima (L.) J.Gay;;neofyt
Indigeniteit;Cotoneaster apiculatus Rehder & E.H.Wilson;;neofyt
Indigeniteit;Cotoneaster dielsianus Pritzel;;neofyt
Indigeniteit;Cotoneaster horizontalis Decaisne;Vlakke dwergmispel;neofyt
Indigeniteit;Cotoneaster rehderi Pojark;Rimpelige cotoneaster;neofyt
Indigeniteit;Cotoneaster salicifolius Franch.;Wilgbladige cotoneaster;neofyt
Indigeniteit;Cotoneaster simonsii Baker;;neofyt
Indigeniteit;Cotoneaster sternianus (Turrill) Boom;;neofyt
Indigeniteit;Cotula australis (Sieber ex Spreng.) Hook f.;Kamilleknopje;inheems
Indigeniteit;Crambe maritima L.;Zeekool;inheems
Indigeniteit;Crassula helmsii (T. Kirk) Cock.;Watercrassula;neofyt
Indigeniteit;Crassula tillaea Lester-Garland;Mosbloempje;inheems
Indigeniteit;Crataegus laevigata (Poiret) DC.;Tweestijlige meidoorn;inheems
Indigeniteit;Crataegus monogyna Jacq.;Eenstijlige meidoorn;inheems
Indigeniteit;Crataegus rhipidophylla Gandoger;Koraalmeidoorn;inheems
Indigeniteit;Crataegus x media Bechst.;Tweestijlige x eenstijlige meidoorn;inheems
Indigeniteit;Crepis biennis L.;Groot streepzaad;inheems
Indigeniteit;Crepis capillaris (L.) Wallr.;Klein streepzaad;inheems
Indigeniteit;Crepis foetida L.;Stinkend streepzaad;archeofyt
Indigeniteit;Crepis paludosa (L.) Moench;Moerasstreepzaad;inheems
Indigeniteit;Crepis polymorpha Pourr.;Paardenbloemstreepzaad;inheems
Indigeniteit;Crepis setosa Haller f.;Borstelstreepzaad;neofyt
Indigeniteit;Crepis tectorum L.;Smal streepzaad;inheems
Indigeniteit;Crithmum maritimum L.;Zeevenkel;inheems
Indigeniteit;Crocus vernus (L.) Hill;Bonte krokus;neofyt
Indigeniteit;Cruciata laevipes Opiz;Kruisbladwalstro;inheems
Indigeniteit;Cuscuta epilinum Weihe;Vlaswarkruid;neofyt
Indigeniteit;Cuscuta epithymum (L.) L.;Klein warkruid;inheems
Indigeniteit;Cuscuta europaea L.;Groot warkruid;inheems
Indigeniteit;Cymbalaria muralis P. Gaertn., B. Mey. et Scherb.;Muurleeuwenbek;neofyt
Indigeniteit;Cynara cardunculus L.;Kardoen;neofyt
Indigeniteit;Cynara scolymus L.;Artisjok;neofyt
Indigeniteit;Cynodon dactylon (L.) Pers.;Handjesgras;neofyt
Indigeniteit;Cynoglossum officinale L.;Veldhondstong;inheems
Indigeniteit;Cynosurus cristatus L.;Kamgras;inheems
Indigeniteit;Cyperus esculentus L.;Knolcyperus;neofyt
Indigeniteit;Cyperus flavescens L.;Geel cypergras;inheems
Indigeniteit;Cyperus fuscus L.;Bruin cypergras;inheems
Indigeniteit;Cystopteris fragilis (L.) Bernh.;Blaasvaren;inheems
Indigeniteit;Cytisus scoparius (L.) Link;Brem;inheems
Indigeniteit;Daboecia cantabrica (Huds.) K.Koch;;neofyt
Indigeniteit;Dactylis glomerata L.;Kropaar;inheems
Indigeniteit;Dactylis polygama Horvátovszky;IJle kropaar;neofyt
Indigeniteit;Dactylorhiza fistulosa (Moench) H. Baumann et Künkele;Brede orchis;inheems
Indigeniteit;Dactylorhiza fuchsii (Druce) Soó;Bosorchis;inheems
Indigeniteit;Dactylorhiza incarnata (L.) Soó;Vleeskleurige orchis;inheems
Indigeniteit;Dactylorhiza maculata (L.) Soó;Gevlekte orchis;inheems
Indigeniteit;Dactylorhiza maculata (L.) Soó subsp. elodes (Griseb.) Soó;Gevlekte orchis subsp. elodes;inheems
Indigeniteit;Dactylorhiza praetermissa (Druce) Soó;Rietorchis;inheems
Indigeniteit;Dactylorhiza sphagnicola (Höppner) Averyanov;Veenorchis;inheems
Indigeniteit;Danthonia decumbens (L.) DC.;Tandjesgras;inheems
Indigeniteit;Daphne mezereum L.;Rood peperboompje;inheems
Indigeniteit;Datura stramonium L.;Doornappel;neofyt
Indigeniteit;Daucus carota L.;Peen;inheems
Indigeniteit;Delia segetalis (L.) Dum.;Korenschijnspurrie;inheems
Indigeniteit;Deschampsia cespitosa (L.) Beauv.;Ruwe smele;inheems
Indigeniteit;Deschampsia flexuosa (L.) Trin.;Bochtige smele;inheems
Indigeniteit;Deschampsia setacea (Huds.) Hack.;Moerassmele;inheems
Indigeniteit;Descurainia sophia (L.) Webb ex Prantl;Sofiekruid;archeofyt
Indigeniteit;Dianthus armeria L.;Ruige anjer;inheems
Indigeniteit;Dianthus deltoides L.;Steenanjer;inheems
Indigeniteit;Dianthus plumarius L.;;neofyt
Indigeniteit;Digitalis purpurea L.;Vingerhoedskruid;inheems
Indigeniteit;Digitaria aequiglumis (Hack. et Arechav.) Parodi;;neofyt
Indigeniteit;Digitaria ischaemum (Schreb. ex Schweigg.) Muhlenb.;Glad vingergras;inheems
Indigeniteit;Digitaria sanguinalis (L.) Scop.;Harig vingergras;neofyt
Indigeniteit;Diphasiastrum tristachyum (Pursh) Holub;Kleine wolfsklauw;inheems
Indigeniteit;Diplotaxis muralis (L.) DC.;Kleine zandkool;inheems
Indigeniteit;Diplotaxis tenuifolia (L.) DC.;Grote zandkool;neofyt
Indigeniteit;Dipsacus fullonum L.;Grote kaardenbol;inheems
Indigeniteit;Dipsacus laciniatus L.;Slipbladkaardenbol;neofyt
Indigeniteit;Dipsacus pilosus L.;Kleine kaardenbol;inheems
Indigeniteit;Dipsacus strigosus Willd. ex Roem. et Schult.;;neofyt
Indigeniteit;Dittrichia graveolens (L.) Greuter;Kamferalant;neofyt
Indigeniteit;Dittrichia viscosa (L.) Greuter;Kleverige alant;neofyt
Indigeniteit;Doronicum pardalianches L.;Hartbladzonnebloem;neofyt
Indigeniteit;Draba muralis L.;Wit hongerbloempje;inheems
Indigeniteit;Drosera anglica Huds.;Lange zonnedauw;inheems
Indigeniteit;Drosera intermedia Hayne;Kleine zonnedauw;inheems
Indigeniteit;Drosera rotundifolia L.;Ronde zonnedauw;inheems
Indigeniteit;Dryopteris affinis (Lowe) Fraser-Jenkins;Geschubde mannetjesvaren;inheems
Indigeniteit;Dryopteris carthusiana (Vill.) H.P. Fuchs;Smalle stekelvaren;inheems
Indigeniteit;Dryopteris cristata (L.) A. Gray;Kamvaren;inheems
Indigeniteit;Dryopteris dilatata (Hoffmann) A. Gray;Brede stekelvaren;inheems
Indigeniteit;Dryopteris filix-mas (L.) Schott;Mannetjesvaren;inheems
Indigeniteit;Duchesnea indica (Andrews) Focke;Schijnaardbei;neofyt
Indigeniteit;Dysphania ambrosioides (L.) Mosyakin & Clemants;Welriekende ganzenvoet;neofyt
Indigeniteit;Dysphania aristata (L.) Mosyakin & Clemants;;neofyt
Indigeniteit;Echinochloa crus-galli (L.) Beauv.;Europese hanenpoot;neofyt
Indigeniteit;Echinochloa muricata (Beauv.) Fernald;Stekelige hanenpoot;neofyt
Indigeniteit;Echium vulgare L.;Slangenkruid;inheems
Indigeniteit;Egeria densa Planchon;;neofyt
Indigeniteit;Elaeagnus angustifolia L.;Smalle olijfwilg;neofyt
Indigeniteit;Elatine hexandra (Lapierre) DC.;Gesteeld glaskroos;inheems
Indigeniteit;Elatine hydropiper L.;Klein glaskroos;inheems
Indigeniteit;Elatine triandra Schkuhr;Drietallig glaskroos;inheems
Indigeniteit;Eleocharis acicularis (L.) Roem. et Schult.;Naaldwaterbies;inheems
Indigeniteit;Eleocharis multicaulis (Smith) Desv.;Veelstengelige waterbies;inheems
Indigeniteit;Eleocharis ovata (Roth) Roem. et Schult.;Eivormige waterbies;inheems
Indigeniteit;Eleocharis palustris (L.) Roem. et Schult.;Gewone waterbies;inheems
Indigeniteit;Eleocharis quinqueflora (F.X. Hartm.) O. Schwartz;Armbloemige waterbies;inheems
Indigeniteit;Eleocharis uniglumis (Link) Schult.;Slanke waterbies;inheems
Indigeniteit;Elodea canadensis Michaux;Brede waterpest;neofyt
Indigeniteit;Elodea nuttallii (Planch.) St John;Smalle waterpest;neofyt
Indigeniteit;Elymus athericus (Link) Kerguélen;Strandkweek;inheems
Indigeniteit;Elymus caninus (L.) L.;Hondstarwegras;inheems
Indigeniteit;Elymus farctus (Viv.) Runemark ex Melderis;Biestarwegras;inheems
Indigeniteit;Elymus repens (L.) Gould;Kweek;inheems
Indigeniteit;Elytrigia maritima Tzelev;Zandkweek;inheems
Indigeniteit;Epilobium angustifolium L.;Wilgenroosje;inheems
Indigeniteit;Epilobium brachycarpum C.Presl;;neofyt
Indigeniteit;Epilobium ciliatum Rafin.;Beklierde basterdwederik;neofyt
Indigeniteit;Epilobium hirsutum L.;Harig wilgenroosje;inheems
Indigeniteit;Epilobium lanceolatum Seb. et Mauri;Lancetbladige basterdwederik;inheems
Indigeniteit;Epilobium montanum L.;Bergbasterdwederik;inheems
Indigeniteit;Epilobium obscurum Schreb.;Donkergroene basterdwederik;inheems
Indigeniteit;Epilobium palustre L.;Moerasbasterdwederik;inheems
Indigeniteit;Epilobium parviflorum Schreb.;Viltige basterdwederik;inheems
Indigeniteit;Epilobium roseum Schreb.;Bleke basterdwederik;inheems
Indigeniteit;Epilobium tetragonum L.;Kantige basterdwederik;inheems
Indigeniteit;Epipactis atrorubens (Hoffmann) Besser;Bruinrode wespenorchis;inheems
Indigeniteit;Epipactis helleborine (L.) Crantz;Brede wespenorchis;inheems
Indigeniteit;Epipactis muelleri Godf.;Geelgroene wespenorchis;inheems
Indigeniteit;Epipactis palustris (L.) Crantz;Moeraswespenorchis;inheems
Indigeniteit;Epipactis phyllanthes G.E. Smith;Groene wespenorchis;inheems
Indigeniteit;Equisetum arvense L.;Heermoes;inheems
Indigeniteit;Equisetum fluviatile L.;Holpijp;inheems
Indigeniteit;Equisetum hyemale L.;Schaafstro;inheems
Indigeniteit;Equisetum palustre L.;Lidrus;inheems
Indigeniteit;Equisetum sylvaticum L.;Bospaardenstaart;inheems
Indigeniteit;Equisetum telmateia Ehrh.;Reuzenpaardenstaart;inheems
Indigeniteit;Equisetum variegatum Schleich.;Bonte paardenstaart;inheems
Indigeniteit;Eragrostis curvula (Schrad.) Nees;Zuid-Afrikaans liefdegras;neofyt
Indigeniteit;Eragrostis minor Host;Klein liefdegras;neofyt
Indigeniteit;Eragrostis pilosa (L.) Beauv.;Straatliefdegras;neofyt
Indigeniteit;Eragrostis pilosa (L.) Beauv. subsp. damiensiana (Bonnet) Thell.;;neofyt
Indigeniteit;Eranthis hyemalis (L.) Salisb.;Winterakoniet;neofyt
Indigeniteit;Erica cinerea L.;Rode dophei;inheems
Indigeniteit;Erica herbacea L.;Sneeuwhei;neofyt
Indigeniteit;Erica tetralix L.;Gewone dophei;inheems
Indigeniteit;Erigeron acer L.;Scherpe fijnstraal;inheems
Indigeniteit;Erigeron annuus (L.) Desf.;Zomerfijnstraal;neofyt
Indigeniteit;Erigeron annuus (L.) Desf. subsp. annuus;;inheems
Indigeniteit;Erigeron karvinskianus DC.;Muurfijnstraal;neofyt
Indigeniteit;Eriophorum gracile Koch ex Roth;Slank wollegras;inheems
Indigeniteit;Eriophorum latifolium Hoppe;Breed wollegras;inheems
Indigeniteit;Eriophorum polystachion L.;Veenpluis;inheems
Indigeniteit;Eriophorum vaginatum L.;Eenarig wollegras;inheems
Indigeniteit;Erodium cicutarium (L.) L'Hérit.;Gewone reigersbek + duinreigersbek;inheems
Indigeniteit;Erodium lebelii Jord.;Kleverige reigersbek;inheems
Indigeniteit;Erophila verna (L.) Chevall.;Vroegeling;inheems
Indigeniteit;Eryngium campestre L.;Kruisdistel;inheems
Indigeniteit;Eryngium maritimum L.;Blauwe zeedistel;inheems
Indigeniteit;Erysimum cheiranthoides L.;Gewone steenraket;inheems
Indigeniteit;Erysimum cheiri (L.) Crantz;Muurbloem;archeofyt
Indigeniteit;Euonymus alatus (Thunb.) Siebold;Gevleugelde kardinaalsmuts;neofyt
Indigeniteit;Euonymus europaeus L.;Wilde kardinaalsmuts;inheems
Indigeniteit;Euonymus fortunei (Turcz.) Hand.-Mazz.;;neofyt
Indigeniteit;Eupatorium cannabinum L.;Koninginnenkruid;inheems
Indigeniteit;Euphorbia amygdaloides L.;Amandelwolfsmelk;inheems
Indigeniteit;Euphorbia cyparissias L.;Cipreswolfsmelk;inheems
Indigeniteit;Euphorbia dulcis L.;Zoete wolfsmelk;neofyt
Indigeniteit;Euphorbia esula L.;Heksenmelk;inheems
Indigeniteit;Euphorbia exigua L.;Kleine wolfsmelk;inheems
Indigeniteit;Euphorbia helioscopia L.;Kroontjeskruid;inheems
Indigeniteit;Euphorbia humifusa Willd.;;neofyt
Indigeniteit;Euphorbia lathyris L.;Kruisbladige wolfsmelk;neofyt
Indigeniteit;Euphorbia maculata L.;Straatwolfsmelk;neofyt
Indigeniteit;Euphorbia myrsinites L.;;neofyt
Indigeniteit;Euphorbia paralias L.;Zeewolfsmelk;inheems
Indigeniteit;Euphorbia peplus L.;Tuinwolfsmelk;inheems
Indigeniteit;Euphorbia platyphyllos L.;Brede wolfsmelk;inheems
Indigeniteit;Euphorbia prostrata Aiton;;neofyt
Indigeniteit;Euphrasia;Ogentroost (G);inheems
Indigeniteit;Euphrasia officinalis L.;Beklierde ogentroost;inheems
Indigeniteit;Euphrasia stricta J.P. Wolff ex Lehm.;Stijve ogentroost;inheems
Indigeniteit;Fagus sylvatica L.;Beuk;inheems
Indigeniteit;Falcaria vulgaris Bernh.;Sikkelkruid;archeofyt
Indigeniteit;Fallopia aubertii (L. Henry) Holub;Chinese bruidssluier;neofyt
Indigeniteit;Fallopia baldschuanica (Regel) Holub;Chinese bruidsluier;neofyt
Indigeniteit;Fallopia convolvulus (L.) Á. Löve;Zwaluwtong;inheems
Indigeniteit;Fallopia dumetorum (L.) Holub;Heggenduizendknoop;inheems
Indigeniteit;Fallopia japonica (Houtt.) Ronse Decraene;Japanse duizendknoop;neofyt
Indigeniteit;Fallopia sachalinensis (F. Schmidt Petrop.) Ronse Decraene;Sachalinse duizendknoop;neofyt
Indigeniteit;Festuca arundinacea Schreb.;Rietzwenkgras;inheems
Indigeniteit;Festuca filiformis Pourr.;Fijn schapengras;inheems
Indigeniteit;Festuca gigantea (L.) Vill.;Reuzenzwenkgras;inheems
Indigeniteit;Festuca juncifolia St-Amans;Duinzwenkgras;inheems
Indigeniteit;Festuca ovina L.;Genaald schapengras;neofyt
Indigeniteit;Festuca pratensis Huds.;Beemdlangbloem;inheems
Indigeniteit;Festuca rubra L.;Rood zwenkgras;inheems
Indigeniteit;Filago arvensis L.;Akkerviltkruid;inheems
Indigeniteit;Filago lutescens Jord.;Geel viltkruid;inheems
Indigeniteit;Filago minima (Smith) Pers.;Dwergviltkruid;inheems
Indigeniteit;Filago vulgaris Lam.;Duits viltkruid;inheems
Indigeniteit;Filipendula ulmaria (L.) Maxim.;Moerasspirea;inheems
Indigeniteit;Fragaria moschata Weston;Grote bosaardbei;inheems
Indigeniteit;Fragaria vesca L.;Bosaardbei;inheems
Indigeniteit;Frangula alnus Mill.;Sporkehout;inheems
Indigeniteit;Fraxinus excelsior L.;Es;inheems
Indigeniteit;Fritillaria meleagris L.;Kievitsbloem;inheems
Indigeniteit;Fumaria capreolata L.;Rankende duivenkervel;inheems
Indigeniteit;Fumaria densiflora DC.;Dichtbloemige duivenkervel;inheems
Indigeniteit;Fumaria muralis Sond. ex Koch;Middelste duivenkervel;neofyt
Indigeniteit;Fumaria officinalis L.;Gewone duivenkervel;inheems
Indigeniteit;Fumaria parviflora Lam.;Kleine duivenkervel;inheems
Indigeniteit;Fumaria vaillantii Loisel.;Roze duivenkervel;inheems
Indigeniteit;Gagea lutea (L.) Ker-Gawl.;Bosgeelster;inheems
Indigeniteit;Gagea pratensis (Pers.) Dum.;Weidegeelster;inheems
Indigeniteit;Gagea spathacea (Hayne) Salisb.;Schedegeelster;inheems
Indigeniteit;Gagea villosa (Bieb.) Sweet;Akkergeelster;inheems
Indigeniteit;Gaillardia x grandiflora Van Houtte;Kokardebloem;neofyt
Indigeniteit;Galanthus nivalis L.;Sneeuwklokje;neofyt
Indigeniteit;Galega officinalis L.;Galega;neofyt
Indigeniteit;Galeopsis angustifolia Ehrh. ex Hoffmann;Smalle raai;inheems
Indigeniteit;Galeopsis bifida Boenningh.;Gespleten hennepnetel;inheems
Indigeniteit;Galeopsis segetum Neck.;Bleekgele hennepnetel;inheems
Indigeniteit;Galeopsis speciosa Mill.;Dauwnetel;inheems
Indigeniteit;Galeopsis tetrahit L.;Gewone hennepnetel;inheems
Indigeniteit;Galinsoga parviflora Cav.;Kaal knopkruid;neofyt
Indigeniteit;Galinsoga quadriradiata Ruiz et Pav.;Harig knopkruid;neofyt
Indigeniteit;Galium aparine L.;Kleefkruid;archeofyt
Indigeniteit;Galium mollugo L.;Glad walstro;inheems
Indigeniteit;Galium odoratum (L.) Scop.;Lievevrouwebedstro;inheems
